start_id,end_id
main,_async_main
_async_main,set
_async_main,set
_async_main,ingest_async
src/gitingest/cli.py,main
clone_repo,validate_github_token
clone_repo,ensure_directory
clone_repo,Path
clone_repo,check_repo_exists
clone_repo,ValueError
clone_repo,create_git_auth_header
clone_repo,ensure_git_installed
clone_repo,run_command
clone_repo,str
clone_repo,Path
clone_repo,create_git_command
clone_repo,run_command
clone_repo,create_git_command
clone_repo,run_command
clone_repo,async_timeout
src/gitingest/config.py,Path
ingest_async,parse_query
ingest_async,load_gitignore_patterns
ingest_async,clone_repo
ingest_async,TypeError
ingest_async,ingest_query
ingest_async,open
ingest,ingest_async
ingest_query,Path
ingest_query,apply_gitingest_file
ingest_query,ValueError
ingest_query,ValueError
ingest_query,FileSystemNode
ingest_query,str
ingest_query,ValueError
ingest_query,format_node
ingest_query,FileSystemNode
ingest_query,str
ingest_query,FileSystemStats
ingest_query,_process_node
ingest_query,format_node
apply_gitingest_file,isinstance
apply_gitingest_file,isinstance
apply_gitingest_file,type
apply_gitingest_file,set
apply_gitingest_file,isinstance
_process_node,limit_exceeded
_process_node,_should_exclude
_process_node,_should_include
_process_node,_process_symlink
_process_node,_process_file
_process_node,FileSystemNode
_process_node,str
_process_node,_process_node
_process_node,print
_process_symlink,FileSystemNode
_process_symlink,str
_process_file,print
_process_file,print
_process_file,FileSystemNode
_process_file,str
limit_exceeded,print
limit_exceeded,print
limit_exceeded,print
format_node,_create_summary_prefix
format_node,len
format_node,_create_tree_structure
format_node,_create_tree_structure
format_node,_gather_file_contents
format_node,_format_token_count
_gather_file_contents,_gather_file_contents
_create_tree_structure,enumerate
_create_tree_structure,_create_tree_structure
_create_tree_structure,len
_format_token_count,len
_format_token_count,print
_format_token_count,str
parse_query,urlparse
parse_query,any
parse_query,_parse_remote_repo
parse_query,_parse_local_dir_path
parse_query,_parse_patterns
parse_query,_parse_patterns
parse_query,set
parse_query,set
parse_query,IngestionQuery
_parse_remote_repo,unquote
_parse_remote_repo,urlparse
_parse_remote_repo,_validate_url_scheme
_parse_remote_repo,_validate_host
_parse_remote_repo,_validate_host
_parse_remote_repo,try_domains_for_user_and_repo
