id,label,lineno,name,path
README.md,File,,README.md,README.md
CODE_OF_CONDUCT.md,File,,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md
CONTRIBUTING.md,File,,CONTRIBUTING.md,CONTRIBUTING.md
Dockerfile,File,,Dockerfile,Dockerfile
LICENSE,File,,LICENSE,LICENSE
pyproject.toml,File,,pyproject.toml,pyproject.toml
requirements-dev.txt,File,,requirements-dev.txt,requirements-dev.txt
requirements.txt,File,,requirements.txt,requirements.txt
SECURITY.md,File,,SECURITY.md,SECURITY.md
.dockerignore,File,,.dockerignore,.dockerignore
.pre-commit-config.yaml,File,,.pre-commit-config.yaml,.pre-commit-config.yaml
src/gitingest/__init__.py,File,,__init__.py,src/gitingest/__init__.py
src/gitingest/cli.py,File,,cli.py,src/gitingest/cli.py
main,Function,63,main,src/gitingest/cli.py
_async_main,Function,113,_async_main,src/gitingest/cli.py
src/gitingest/cloning.py,File,,cloning.py,src/gitingest/cloning.py
clone_repo,Function,21,clone_repo,src/gitingest/cloning.py
src/gitingest/config.py,File,,config.py,src/gitingest/config.py
src/gitingest/entrypoint.py,File,,entrypoint.py,src/gitingest/entrypoint.py
ingest_async,Function,17,ingest_async,src/gitingest/entrypoint.py
ingest,Function,122,ingest,src/gitingest/entrypoint.py
src/gitingest/ingestion.py,File,,ingestion.py,src/gitingest/ingestion.py
ingest_query,Function,19,ingest_query,src/gitingest/ingestion.py
apply_gitingest_file,Function,89,apply_gitingest_file,src/gitingest/ingestion.py
_process_node,Function,154,_process_node,src/gitingest/ingestion.py
_process_symlink,Function,219,_process_symlink,src/gitingest/ingestion.py
_process_file,Function,248,_process_file,src/gitingest/ingestion.py
limit_exceeded,Function,293,limit_exceeded,src/gitingest/ingestion.py
src/gitingest/output_formatters.py,File,,output_formatters.py,src/gitingest/output_formatters.py
format_node,Function,11,format_node,src/gitingest/output_formatters.py
_create_summary_prefix,Function,50,_create_summary_prefix,src/gitingest/output_formatters.py
_gather_file_contents,Function,87,_gather_file_contents,src/gitingest/output_formatters.py
_create_tree_structure,Function,111,_create_tree_structure,src/gitingest/output_formatters.py
_format_token_count,Function,157,_format_token_count,src/gitingest/output_formatters.py
src/gitingest/query_parsing.py,File,,query_parsing.py,src/gitingest/query_parsing.py
parse_query,Function,26,parse_query,src/gitingest/query_parsing.py
_parse_remote_repo,Function,101,_parse_remote_repo,src/gitingest/query_parsing.py
_configure_branch_and_subpath,Function,193,_configure_branch_and_subpath,src/gitingest/query_parsing.py
_parse_patterns,Function,225,_parse_patterns,src/gitingest/query_parsing.py
_parse_local_dir_path,Function,269,_parse_local_dir_path,src/gitingest/query_parsing.py
